model,n_BA-preferred,n_SVO-preferred,mean_d_BA-preferred,mean_d_SVO-preferred,median_d_BA-preferred,median_d_SVO-preferred,sd_d_BA-preferred,sd_d_SVO-preferred,accuracy_pct_BA-preferred,accuracy_pct_SVO-preferred,ties_BA-preferred,ties_SVO-preferred,ba_expected,svo_expected,ba_check,svo_check
GLM-4-9B-Base,100,100,0.9829944956302643,1.93472063422203,0.8437144756317139,1.7722680568695068,0.9279933036908192,1.5071299171275678,89,94,0,0,89,94,TRUE,TRUE
InternLM2.5-7B-Base,100,100,0.99444908618927,1.8817683723568919,0.9437394142150879,1.7809802293777466,0.9193952139607623,1.9149875790115751,89,89,0,0,89,89,TRUE,TRUE
Llama-2-7B-Base,100,100,0.756745980978012,0.14752039909362788,0.7026487588882446,0.14226222038269043,0.3938159000795244,0.38028583037813196,100,65,0,0,100,65,TRUE,TRUE
Llama-3-8B-Base,100,100,1.1661741060018538,1.1291356113553046,1.0118854641914368,1.139208972454071,0.920504043783397,0.8551158786288894,95,89,0,0,95,89,TRUE,TRUE
Llama-3.1-8B-Instruct,100,100,1.1574503922462465,1.143149759173393,1.1314716339111328,1.1546847224235535,0.9243790578183003,0.9787537690772068,88,88,0,0,88,88,TRUE,TRUE
Mistral-7B-v0.3-Base,100,100,0.9348623049259186,0.5646954715251923,0.8418742418289185,0.5935422182083132,0.5580079085639924,0.5409011714615342,97,86,0,0,97,86,TRUE,TRUE
Pythia-1.4B-Base,100,100,1.1302149987220764,0.3194655203819275,1.1425549983978271,0.3264211416244507,0.5513213445262581,0.4945665974932379,97,71,0,0,97,71,TRUE,TRUE
Pythia-2.8B-Base,100,100,1.0943677520751953,0.2965651148557663,1.1018622517585754,0.33165854215621915,0.5766935540618058,0.5391490183771832,96,70,0,0,96,70,TRUE,TRUE
Pythia-410M-Base,100,100,1.0134298956394194,0.03126187205314612,0.9055525064468384,0.05036568641662598,0.5383785319433354,0.6136103369424983,100,55.00000000000001,0,0,100,55,TRUE,TRUE
Qwen2.5-0.5B-Base,100,100,0.9354801166057586,1.5741089212894441,0.8620901107788086,1.7351832389831543,0.8778027008394874,1.5714840429259054,90,82,0,0,90,82,TRUE,TRUE
Qwen2.5-1.5B-Base,100,100,1.1467276787757872,1.7740765088796615,0.997869610786438,1.9370000362396242,0.8344920893450112,1.3663199104506834,95,86,0,0,95,86,TRUE,TRUE
Qwen2.5-14B-Base,100,100,1.082880467772484,2.0244323211908344,1.0017884969711301,1.975456416606903,0.9375480015457394,1.4783428122495132,90,91,0,0,90,91,TRUE,TRUE
Qwen2.5-3B-Base,100,100,1.0644814944267271,2.0162264290452,0.9417189955711365,2.050626039505005,0.9253847991002457,1.428128565686288,91,90,0,0,91,90,TRUE,TRUE
Qwen2.5-7B-Base,100,100,1.0746224981546402,1.80611269235611,0.9368211030960083,1.7685420513153076,0.9664341742477666,1.4057131478600142,88,88,0,0,88,88,TRUE,TRUE
Qwen3-0.6B-Base,100,100,1.105487126111984,1.6461402970552452,1.1243696212768555,1.7373955249786377,0.9151041603356259,1.4050104037038391,90,84,0,0,90,84,TRUE,TRUE
Qwen3-1.7B-Base,100,100,0.9437334418296813,1.6519336253404617,0.8984555006027224,1.7871090173721313,0.8781572049857661,1.3077836863092829,85,85,0,0,85,85,TRUE,TRUE
Qwen3-14B-Base,100,100,1.1623503664135937,1.9056196361780167,1.0568713545799255,1.885432243347168,0.9592656862991273,1.3881650875253921,94,93,0,0,94,93,TRUE,TRUE
Qwen3-4B-Base,100,100,1.030853307247162,1.9152061390876776,0.9330517053604126,1.9655584692955013,0.9597721103281798,1.3440158386964192,88,92,0,0,88,92,TRUE,TRUE
Qwen3-8B-Base,100,100,1.0781086480617523,1.9624979549646382,0.9049768447875979,1.9440512657165527,1.0389379780574663,1.3813734402433053,89,93,0,0,89,93,TRUE,TRUE
Yi-1.5-6B-Base,100,100,0.7404253077507021,1.1056685113906861,0.6799921989440918,1.2281250953674314,0.6106233556937447,0.9224509764368887,93,86,0,0,93,86,TRUE,TRUE
Yi-1.5-9B-Base,100,100,0.7271598994731905,1.0072698259353638,0.6012973785400391,1.0358680486679077,0.6571391325463642,0.9633131476775978,89,83,0,0,89,83,TRUE,TRUE
