Model,BA-Pref Context: t-value,BA-Pref Context: p-value,BA-Pref Significant?,SVO-Pref Context: t-value,SVO-Pref Context: p-value,SVO-Pref Significant?
Qwen2.5-14B-Base,-11.5501,4.7332963641985224e-20,Yes (***),13.6939,1.4038777981272487e-24,Yes (***)
Llama-3-8B-Base,-12.6689,1.944800340676592e-22,Yes (***),13.2045,1.458707315838457e-23,Yes (***)
Qwen2.5-3B-Base,-11.5031,5.975532934746763e-20,Yes (***),14.118,1.887445619906044e-25,Yes (***)
InternLM2.5-7B-Base,-10.8163,1.8270756373272746e-18,Yes (***),9.8265,2.614965046756689e-16,Yes (***)
Qwen3-8B-Base,-10.377,1.6486443275669247e-17,Yes (***),14.2069,1.2425212536693034e-25,Yes (***)
Qwen3-1.7B-Base,-10.7467,2.5874694036639813e-18,Yes (***),12.6316,2.3318425906053355e-22,Yes (***)
Llama-2-7B-Base,-19.2157,3.540094623871866e-35,Yes (***),3.8792,0.00018885221637682579,Yes (***)
Pythia-410M-Base,-18.8237,1.7644347560540399e-34,Yes (***),0.5095,0.611553572621668,No
Pythia-1.4B-Base,-20.5001,2.092017936443263e-37,Yes (***),6.4595,3.952514162765353e-09,Yes (***)
Qwen3-0.6B-Base,-12.0805,3.454000771097066e-21,Yes (***),11.7162,2.0803689358526667e-20,Yes (***)
Qwen3-14B-Base,-12.1171,2.885018671872115e-21,Yes (***),13.7276,1.1961325123872449e-24,Yes (***)
Qwen2.5-1.5B-Base,-13.7416,1.1191054934445263e-24,Yes (***),12.9843,4.214869756307558e-23,Yes (***)
Pythia-2.8B-Base,-18.9766,9.410407616397467e-35,Yes (***),5.5006,2.966527396085768e-07,Yes (***)
GLM-4-9B-Base,-10.5927,5.594132582733581e-18,Yes (***),12.8371,8.593383211383636e-23,Yes (***)
Llama-3.1-8B-Instruct,-12.5214,3.98804620599827e-22,Yes (***),11.6796,2.4927380374050728e-20,Yes (***)
Qwen3-4B-Base,-10.7406,2.6682099780721928e-18,Yes (***),14.2499,1.0152808221539907e-25,Yes (***)
Yi-1.5-6B-Base,-12.1257,2.765097191742596e-21,Yes (***),11.9862,5.491156973729458e-21,Yes (***)
Qwen2.5-0.5B-Base,-10.6571,4.052805958827589e-18,Yes (***),10.0167,1.0059418607720132e-16,Yes (***)
Mistral-7B-v0.3-Base,-16.7536,1.1742898667056408e-30,Yes (***),10.4399,1.202848235694116e-17,Yes (***)
Qwen2.5-7B-Base,-11.1195,4.024604063394535e-19,Yes (***),12.8484,8.137327371574442e-23,Yes (***)
Yi-1.5-9B-Base,-11.0655,5.265557958203127e-19,Yes (***),10.4563,1.1078819700045395e-17,Yes (***)
